_week,avg_slippage_bps,total_slippage_value,total_commission,avg_market_impact_bps,total_market_impact_value,total_pnl,total_alpha,total_beta,total_cost,total_timing,num_trades,total_volume,cost_to_pnl_ratio,avg_cost_per_trade
2024-00,0.6554837826987532,4461019689.272874,184037.19554066207,14.936657202232217,145215907.1465841,18039408.780124605,11.183493000291762,18039397.596631605,4606419633.614999,-4461019689.272874,741,37315696,25535.31,6216490.73
2024-01,-0.5675703070500687,615428685.7348225,207198.73935506717,15.405792136269618,176227767.63327426,22725358.77332543,11.98444682900939,22725346.7888786,791863652.1074524,-615428685.7348225,864,44553682,3484.49,916508.86
2024-02,0.867636439203271,-2749035105.4231086,219376.9376492166,14.999330340284443,161462012.41553882,21719851.670113083,13.298622663132011,21719838.37149042,-2587353716.069921,2749035105.4231086,865,44014697,-11912.39,-2991160.37
2024-03,-0.2683474847056034,-21908634.59731885,214347.74261886408,14.879882633630288,150053808.10767996,20730276.536753945,14.044552583224554,20730262.49220136,128359521.25297992,21908634.59731885,864,41947601,619.19,148564.26
2024-04,1.3840056505273528,-1474536764.0821092,213566.553131469,15.190446803960057,158109075.2343477,21310524.150111463,13.20644702922607,21310510.94366443,-1316214122.2946305,1474536764.0821092,864,41381944,-6176.36,-1523395.97
2024-05,1.3745380035457087,-1822706824.708544,217822.88599090916,15.09099450939316,163429440.0224063,18997435.911208812,12.977259703011708,18997422.933949113,-1659059561.800146,1822706824.708544,864,43571110,-8733.07,-1920207.83
2024-06,-0.7523619318621741,-1360143196.460654,216770.74328063658,15.157823404188564,162837928.23200628,20416078.108254515,13.238966229576441,20416064.869288288,-1197088497.4853673,1360143196.460654,864,43383174,-5863.46,-1385519.09
2024-07,-0.33668652338624255,330723268.3856354,206513.74311704404,15.275761311824795,165769509.73408896,20491565.518277932,12.9266442506909,20491552.59163368,496699291.86284125,-330723268.3856354,864,43565787,2423.92,574883.44
2024-08,1.1369167168446555,5023098115.310118,214010.8953618348,15.246415363326872,171216216.93422267,20839474.112056293,12.629567021740588,20839461.48248927,5194528343.139702,-5023098115.310118,865,43759687,24926.39,6005235.08
2024-09,-0.48899012433189276,1815533845.5925667,216787.224822302,15.199145179545052,165542003.50892416,21904788.739216585,13.576399531402112,21904775.162817053,1981292636.326313,-1815533845.5925667,864,41835314,9045.02,2293162.77
2024-10,-1.0075655177959026,-519979770.40272814,214444.25748873956,14.679594232836362,148659991.4246904,20149519.06287982,12.964509643224533,20149506.098370176,-371105334.7205492,519979770.40272814,864,42992632,-1841.76,-429520.06
2024-11,-0.07129230169479041,-1898594855.5897932,215643.22532751664,14.645550872375663,157777601.4725927,22742477.547908064,13.027382507789284,22742464.520525556,-1740601610.8918734,1898594855.5897932,864,42208120,-7653.53,-2014585.2
2024-12,-0.34510012595551465,1865811703.3038025,215309.1008123729,15.2609528656827,164589836.94621718,22529670.608880095,13.319130171481426,22529657.289749924,2030616849.3508322,-1865811703.3038025,864,42218182,9013.08,2350250.98
2024-13,-1.0309718768750524,-3665239077.8179727,223454.13690403232,15.151737140656747,155104034.21216658,22039587.038167156,12.376365018662746,22039574.66180214,-3509911589.4689016,3665239077.8179727,864,41896704,-15925.49,-4062397.67
2024-14,-0.7346322773144643,3813223276.449851,216031.89039507223,14.734944647177805,166078384.97518003,20935665.306369305,13.668163511847473,20935651.638205793,3979517693.315426,-3813223276.449851,865,44339729,19008.32,4600598.49
2024-15,0.007837997565728552,263360429.21843222,219036.03211616463,14.739476657272379,164277720.8692157,20297885.592363413,12.976529898712265,20297872.615833513,427857186.11976355,-263360429.21843222,864,42774707,2107.89,495205.08
